From,To,Mechanism,Category,Strength,Direction
BAJAJ-AUTO,EICHERMOT,Same industry: Automobile and Auto Components,Industry,high,positive
BAJAJ-AUTO,M&M,Same industry: Automobile and Auto Components,Industry,high,positive
BAJAJ-AUTO,MARUTI,Same industry: Automobile and Auto Components,Industry,high,positive
BAJAJ-AUTO,TMPV,Same industry: Automobile and Auto Components,Industry,high,positive
EICHERMOT,M&M,Same industry: Automobile and Auto Components,Industry,high,positive
EICHERMOT,MARUTI,Same industry: Automobile and Auto Components,Industry,high,positive
EICHERMOT,TMPV,Same industry: Automobile and Auto Components,Industry,high,positive
M&M,MARUTI,Same industry: Automobile and Auto Components,Industry,high,positive
M&M,TMPV,Same industry: Automobile and Auto Components,Industry,high,positive
MARUTI,TMPV,Same industry: Automobile and Auto Components,Industry,high,positive
GRASIM,ULTRACEMCO,Same industry: Construction Materials,Industry,low,positive
ASIANPAINT,TITAN,Same industry: Consumer Durables,Industry,low,positive
ETERNAL,TRENT,Same industry: Consumer Services,Industry,low,positive
HINDUNILVR,ITC,Same industry: Fast Moving Consumer Goods,Industry,medium,positive
HINDUNILVR,NESTLEIND,Same industry: Fast Moving Consumer Goods,Industry,medium,positive
HINDUNILVR,TATACONSUM,Same industry: Fast Moving Consumer Goods,Industry,medium,positive
ITC,NESTLEIND,Same industry: Fast Moving Consumer Goods,Industry,medium,positive
ITC,TATACONSUM,Same industry: Fast Moving Consumer Goods,Industry,medium,positive
NESTLEIND,TATACONSUM,Same industry: Fast Moving Consumer Goods,Industry,medium,positive
AXISBANK,BAJFINANCE,Same industry: Financial Services,Industry,high,positive
AXISBANK,BAJAJFINSV,Same industry: Financial Services,Industry,high,positive
AXISBANK,HDFCBANK,Same industry: Financial Services,Industry,high,positive
AXISBANK,HDFCLIFE,Same industry: Financial Services,Industry,high,positive
AXISBANK,ICICIBANK,Same industry: Financial Services,Industry,high,positive
AXISBANK,JIOFIN,Same industry: Financial Services,Industry,high,positive
AXISBANK,KOTAKBANK,Same industry: Financial Services,Industry,high,positive
AXISBANK,SBILIFE,Same industry: Financial Services,Industry,high,positive
AXISBANK,SHRIRAMFIN,Same industry: Financial Services,Industry,high,positive
AXISBANK,SBIN,Same industry: Financial Services,Industry,high,positive
BAJFINANCE,BAJAJFINSV,Same industry: Financial Services,Industry,high,positive
BAJFINANCE,HDFCBANK,Same industry: Financial Services,Industry,high,positive
BAJFINANCE,HDFCLIFE,Same industry: Financial Services,Industry,high,positive
BAJFINANCE,ICICIBANK,Same industry: Financial Services,Industry,high,positive
BAJFINANCE,JIOFIN,Same industry: Financial Services,Industry,high,positive
BAJFINANCE,KOTAKBANK,Same industry: Financial Services,Industry,high,positive
BAJFINANCE,SBILIFE,Same industry: Financial Services,Industry,high,positive
BAJFINANCE,SHRIRAMFIN,Same industry: Financial Services,Industry,high,positive
BAJFINANCE,SBIN,Same industry: Financial Services,Industry,high,positive
BAJAJFINSV,HDFCBANK,Same industry: Financial Services,Industry,high,positive
BAJAJFINSV,HDFCLIFE,Same industry: Financial Services,Industry,high,positive
BAJAJFINSV,ICICIBANK,Same industry: Financial Services,Industry,high,positive
BAJAJFINSV,JIOFIN,Same industry: Financial Services,Industry,high,positive
BAJAJFINSV,KOTAKBANK,Same industry: Financial Services,Industry,high,positive
BAJAJFINSV,SBILIFE,Same industry: Financial Services,Industry,high,positive
BAJAJFINSV,SHRIRAMFIN,Same industry: Financial Services,Industry,high,positive
BAJAJFINSV,SBIN,Same industry: Financial Services,Industry,high,positive
HDFCBANK,HDFCLIFE,Same industry: Financial Services,Industry,high,positive
HDFCBANK,ICICIBANK,Same industry: Financial Services,Industry,high,positive
HDFCBANK,JIOFIN,Same industry: Financial Services,Industry,high,positive
